"issueKey","status","hoursSpent"
"CS-736","In Progress","0.57"
"CS-736","Testing/Review","551.62"
"CS-735","In Progress","28.82"
"CS-734","In Progress","0.00"
"CS-733","In Progress","0.59"
"CS-733","Testing/Review","620.97"
"CS-732","In Progress","0.04"
"CS-732","Testing/Review","43.57"
"CS-731","In Progress","21.25"
"CS-731","Testing/Review","138.53"
"CS-730","In Progress","20.19"
"CS-729","In Progress","2.84"
"CS-729","Testing/Review","24.28"
"CS-728","In Progress","0.00"
"CS-728","Testing/Review","0.00"
"CS-727","In Progress","0.00"
"CS-726","In Progress","74.99"
"CS-726","Testing/Review","92.43"
"CS-725","In Progress","0.00"
"CS-724","In Progress","1.27"
"CS-723","In Progress","0.00"
"CS-722","In Progress","28.22"
"CS-722","Testing/Review","138.92"
"CS-721","In Progress","0.00"
"CS-721","Testing/Review","0.00"
"CS-720","In Progress","0.00"
"CS-719","In Progress","0.00"
"CS-719","Testing/Review","0.00"
"CS-718","In Progress","26.90"
"CS-718","Testing/Review","167.13"
"CS-717","In Progress","25.43"
"CS-717","Testing/Review","206.71"
"CS-716","In Progress","0.00"
"CS-716","Testing/Review","53.91"
"CS-715","In Progress","528.05"
"CS-715","Testing/Review","0.00"
"CS-714","In Progress","0.00"
"CS-713","In Progress","0.03"
"CS-713","Testing/Review","504.81"
"CS-712","In Progress","0.00"
"CS-712","Testing/Review","0.00"
"CS-711","In Progress","102.29"
"CS-711","Testing/Review","206.71"
"CS-710","In Progress","25.16"
"CS-709","In Progress","14.85"
"CS-709","Testing/Review","72.99"
"CS-708","In Progress","0.00"
"CS-708","Testing/Review","0.00"
"CS-707","In Progress","0.00"
"CS-706","In Progress","0.00"
"CS-705","In Progress","47.33"
"CS-705","Testing/Review","1.55"
"CS-704","In Progress","0.00"
"CS-703","In Progress","0.00"
"CS-702","In Progress","0.00"
"CS-702","Testing/Review","39.05"
"CS-701","In Progress","214.19"
"CS-700","In Progress","0.00"
"CS-700","Testing/Review","39.04"
"CS-699","In Progress","748.24"
"CS-698","In Progress","0.00"
"CS-698","Testing/Review","0.00"
"CS-697","In Progress","18.62"
"CS-697","Testing/Review","51.69"
"CS-696","In Progress","362.12"
"CS-696","Testing/Review","4.02"
"CS-695","In Progress","18.62"
"CS-695","Testing/Review","51.70"
"CS-694","In Progress","39.75"
"CS-693","In Progress","0.00"
"CS-692","In Progress","0.00"
"CS-692","Testing/Review","139.29"
"CS-691","In Progress","0.00"
"CS-691","Testing/Review","139.30"
"CS-690","In Progress","0.00"
"CS-690","Testing/Review","141.46"
"CS-689","In Progress","0.02"
"CS-689","Testing/Review","141.46"
"CS-688","In Progress","0.00"
"CS-688","Testing/Review","139.30"
"CS-687","In Progress","21.45"
"CS-687","Testing/Review","70.31"
"CS-686","In Progress","0.00"
"CS-685","In Progress","0.00"
"CS-685","Testing/Review","94.42"
"CS-684","In Progress","0.00"
"CS-684","Testing/Review","94.42"
"CS-683","In Progress","0.03"
"CS-683","Testing/Review","141.46"
"CS-682","In Progress","0.02"
"CS-682","Testing/Review","141.46"
"CS-681","In Progress","0.11"
"CS-681","Testing/Review","31.33"
"CS-680","In Progress","2.33"
"CS-679","In Progress","15.18"
"CS-679","Testing/Review","126.10"
"CS-678","In Progress","19.80"
"CS-678","Testing/Review","261.98"
"CS-677","In Progress","1.36"
"CS-677","Testing/Review","53.64"
"CS-676","In Progress","0.01"
"CS-676","Testing/Review","76.94"
"CS-675","In Progress","0.02"
"CS-675","Testing/Review","1.42"
"CS-674","In Progress","0.59"
"CS-674","Testing/Review","2.94"
"CS-673","In Progress","0.00"
"CS-673","Testing/Review","187.26"
"CS-672","In Progress","0.03"
"CS-672","Testing/Review","0.86"
"CS-671","In Progress","23.59"
"CS-671","Testing/Review","23.68"
"CS-670","In Progress","3.89"
"CS-670","Testing/Review","3.64"
"CS-669","In Progress","0.11"
"CS-669","Testing/Review","83.04"
"CS-668","In Progress","0.13"
"CS-668","Testing/Review","6.99"
"CS-667","In Progress","11.56"
"CS-667","Testing/Review","197.22"
"CS-666","In Progress","18.17"
"CS-666","Testing/Review","216.98"
"CS-665","In Progress","0.04"
"CS-664","In Progress","0.04"
"CS-664","Testing/Review","1.72"
"CS-663","In Progress","1.72"
"CS-663","Testing/Review","24.96"
"CS-662","In Progress","2.55"
"CS-662","Testing/Review","24.94"
"CS-661","In Progress","2.81"
"CS-661","Testing/Review","24.93"
"CS-660","In Progress","160.18"
"CS-660","Testing/Review","141.46"
"CS-659","In Progress","3.47"
"CS-659","Testing/Review","64.99"
"CS-658","In Progress","1.54"
"CS-658","Testing/Review","0.25"
"CS-657","In Progress","0.00"
"CS-656","In Progress","0.14"
"CS-656","Testing/Review","19.87"
"CS-655","In Progress","0.19"
"CS-655","Testing/Review","23.57"
"CS-654","In Progress","0.02"
"CS-654","Testing/Review","0.01"
"CS-653","In Progress","0.14"
"CS-652","In Progress","0.93"
"CS-652","Testing/Review","22.27"
"CS-651","In Progress","2.11"
"CS-651","Testing/Review","2.25"
"CS-650","In Progress","24.08"
"CS-650","Testing/Review","24.93"
"CS-649","In Progress","14.26"
"CS-649","Testing/Review","12.22"
"CS-648","In Progress","0.02"
"CS-648","Testing/Review","18.97"
"CS-647","In Progress","20.03"
"CS-647","Testing/Review","11.36"
"CS-646","In Progress","0.14"
"CS-646","Testing/Review","23.88"
"CS-645","In Progress","1.59"
"CS-645","Testing/Review","23.87"
"CS-644","In Progress","0.52"
"CS-643","In Progress","0.26"
"CS-642","In Progress","0.09"
"CS-642","Testing/Review","147.56"
"CS-641","In Progress","0.17"
"CS-641","Testing/Review","148.81"
"CS-640","In Progress","0.66"
"CS-640","Testing/Review","22.52"
"CS-639","In Progress","57.83"
"CS-639","Testing/Review","120.83"
"CS-638","In Progress","0.04"
"CS-638","Testing/Review","179.13"
"CS-637","In Progress","0.11"
"CS-637","Testing/Review","193.87"
"CS-636","In Progress","0.08"
"CS-636","Testing/Review","65.65"
"CS-635","In Progress","0.03"
"CS-635","Testing/Review","70.03"
"CS-634","In Progress","21.56"
"CS-634","Testing/Review","94.99"
"CS-633","In Progress","0.00"
"CS-632","In Progress","7.20"
"CS-631","In Progress","0.92"
"CS-631","Testing/Review","3.38"
"CS-630","In Progress","0.22"
"CS-630","Testing/Review","129.54"
"CS-629","In Progress","0.05"
"CS-629","Testing/Review","151.45"
"CS-628","In Progress","15.21"
"CS-628","Testing/Review","22.60"
"CS-627","In Progress","11.45"
"CS-627","Testing/Review","0.09"
"CS-626","In Progress","59.04"
"CS-626","Testing/Review","0.14"
"CS-625","In Progress","8.05"
"CS-624","In Progress","0.46"
"CS-624","Testing/Review","11.00"
"CS-623","In Progress","7.81"
"CS-623","Testing/Review","18.16"
"CS-622","In Progress","83.21"
"CS-622","Testing/Review","22.62"
"CS-620","In Progress","0.00"
"CS-619","In Progress","0.87"
"CS-619","Testing/Review","237.32"
"CS-618","In Progress","0.02"
"CS-618","Testing/Review","1.72"
"CS-617","In Progress","0.13"
"CS-617","Testing/Review","1.61"
"CS-616","In Progress","10.89"
"CS-616","Testing/Review","0.29"
"CS-615","In Progress","32.87"
"CS-614","In Progress","10.71"
"CS-614","Testing/Review","4.72"
"CS-613","In Progress","4.43"
"CS-613","Testing/Review","0.00"
"CS-612","In Progress","0.04"
"CS-612","Testing/Review","14.15"
"CS-611","In Progress","18.00"
"CS-611","Testing/Review","4.76"
"CS-610","In Progress","20.21"
"CS-610","Testing/Review","4.78"
"CS-609","In Progress","15.67"
"CS-609","Testing/Review","0.35"
"CS-608","In Progress","0.03"
"CS-608","Testing/Review","20.64"
"CS-607","In Progress","168.65"
"CS-607","Testing/Review","153.77"
"CS-606","In Progress","14.30"
"CS-606","Testing/Review","244.77"
"CS-605","In Progress","12.01"
"CS-605","Testing/Review","5.87"
"CS-604","In Progress","10.22"
"CS-604","Testing/Review","6.12"
"CS-603","In Progress","71.85"
"CS-603","Testing/Review","268.82"
"CS-602","In Progress","14.26"
"CS-602","Testing/Review","177.79"
"CS-601","In Progress","0.40"
"CS-601","Testing/Review","146.87"
"CS-600","In Progress","1.04"
"CS-600","Testing/Review","24.74"
"CS-599","In Progress","20.00"
"CS-599","Testing/Review","97.72"
"CS-598","In Progress","2.05"
"CS-598","Testing/Review","4.43"
"CS-597","In Progress","17.44"
"CS-597","Testing/Review","1.07"
"CS-596","In Progress","259.31"
"CS-595","In Progress","17.55"
"CS-595","Testing/Review","1.07"
"CS-594","In Progress","6.71"
"CS-594","Testing/Review","53.19"
"CS-593","In Progress","0.00"
"CS-592","In Progress","36.24"
"CS-592","Testing/Review","49.74"
"CS-591","In Progress","3.45"
"CS-591","Testing/Review","137.76"
"CS-590","In Progress","139.96"
"CS-590","Testing/Review","1.04"
"CS-589","In Progress","0.00"
"CS-588","In Progress","109.44"
"CS-588","Testing/Review","99.34"
"CS-587","In Progress","16.10"
"CS-587","Testing/Review","71.40"
"CS-586","In Progress","24.81"
"CS-586","Testing/Review","19.64"
"CS-585","In Progress","2.12"
"CS-585","Testing/Review","128.05"
"CS-584","In Progress","94.61"
"CS-584","Testing/Review","23.46"
"CS-583","In Progress","0.22"
"CS-583","Testing/Review","118.15"
"CS-582","In Progress","64.80"
"CS-582","Testing/Review","77.06"
"CS-581","In Progress","605.74"
"CS-581","Testing/Review","0.88"
"CS-580","In Progress","0.83"
"CS-579","In Progress","11.12"
"CS-579","Testing/Review","119.31"
"CS-578","In Progress","71.12"
"CS-578","Testing/Review","141.40"
"CS-577","In Progress","12.64"
"CS-577","Testing/Review","193.57"
"CS-576","In Progress","120.19"
"CS-576","Testing/Review","111.80"
"CS-575","In Progress","0.42"
"CS-575","Testing/Review","137.66"
"CS-574","In Progress","0.00"
"CS-574","Testing/Review","0.00"
"CS-573","In Progress","0.65"
"CS-573","Testing/Review","71.02"
"CS-572","In Progress","150.24"
"CS-572","Testing/Review","90.73"
"CS-570","In Progress","0.14"
"CS-570","Testing/Review","0.74"
"CS-569","In Progress","0.03"
"CS-569","Testing/Review","5.08"
"CS-568","In Progress","14.36"
"CS-568","Testing/Review","6.12"
"CS-567","In Progress","139.50"
"CS-567","Testing/Review","6.12"
"CS-565","In Progress","1.60"
"CS-565","Testing/Review","193.75"
"CS-564","In Progress","19.60"
"CS-564","Testing/Review","141.86"
"CS-563","In Progress","506.97"
"CS-563","Testing/Review","101.35"
"CS-561","In Progress","41.87"
"CS-561","Testing/Review","148.59"
"CS-560","In Progress","4.12"
"CS-560","Testing/Review","114.63"
"CS-559","In Progress","115.58"
"CS-558","In Progress","0.01"
"CS-557","In Progress","0.06"
"CS-557","Testing/Review","114.75"
"CS-556","In Progress","4.44"
"CS-556","Testing/Review","0.45"
"CS-555","In Progress","2.47"
"CS-555","Testing/Review","114.77"
"CS-554","In Progress","0.00"
"CS-554","Testing/Review","0.00"
"CS-553","In Progress","0.47"
"CS-553","Testing/Review","117.65"
"CS-552","In Progress","42.29"
"CS-552","Testing/Review","97.19"
"CS-551","In Progress","19.15"
"CS-551","Testing/Review","0.05"
"CS-550","In Progress","1.94"
"CS-550","Testing/Review","24.52"
"CS-549","In Progress","1.73"
"CS-548","In Progress","28.32"
"CS-547","In Progress","47.96"
"CS-546","In Progress","0.04"
"CS-546","Testing/Review","6.02"
"CS-545","In Progress","0.04"
"CS-545","Testing/Review","7.28"
"CS-544","In Progress","0.53"
"CS-544","Testing/Review","23.00"
"CS-543","In Progress","25.83"
"CS-543","Testing/Review","24.70"
"CS-542","In Progress","67.82"
"CS-542","Testing/Review","42.18"
"CS-541","In Progress","0.26"
"CS-541","Testing/Review","112.97"
"CS-540","In Progress","1.59"
"CS-540","Testing/Review","68.01"
"CS-539","In Progress","0.00"
"CS-538","In Progress","42.14"
"CS-538","Testing/Review","143.20"
"CS-537","In Progress","1.25"
"CS-537","Testing/Review","286.06"
"CS-536","In Progress","24.19"
"CS-536","Testing/Review","162.08"
"CS-534","In Progress","15.05"
"CS-534","Testing/Review","150.56"
"CS-533","In Progress","1.79"
"CS-533","Testing/Review","116.80"
"CS-532","In Progress","22.58"
"CS-532","Testing/Review","168.42"
"CS-531","In Progress","0.29"
"CS-531","Testing/Review","71.45"
"CS-530","In Progress","121.13"
"CS-530","Testing/Review","23.55"
"CS-529","In Progress","0.73"
"CS-529","Testing/Review","161.39"
"CS-526","In Progress","160.34"
"CS-525","In Progress","1.90"
"CS-525","Testing/Review","332.29"
"CS-524","In Progress","161.19"
"CS-524","Testing/Review","188.33"
"CS-523","In Progress","170.50"
"CS-523","Testing/Review","188.33"
"CS-522","In Progress","116.73"
"CS-522","Testing/Review","95.29"
"CS-521","In Progress","19.31"
"CS-521","Testing/Review","73.41"
"CS-520","In Progress","4.40"
"CS-520","Testing/Review","22.06"
"CS-517","In Progress","61.84"
"CS-516","In Progress","67.02"
"CS-515","In Progress","0.01"
"CS-515","Testing/Review","119.48"
"CS-514","In Progress","0.01"
"CS-514","Testing/Review","119.48"
"CS-513","In Progress","0.00"
"CS-513","Testing/Review","119.47"
"CS-512","In Progress","0.00"
"CS-512","Testing/Review","119.46"
"CS-511","In Progress","0.00"
"CS-511","Testing/Review","81.30"
"CS-510","In Progress","21.00"
